,Altura (m),T (ºC),Td (ºC)
0,35923.0,-30.53000542297957,
1,31117.0,-42.22000516168771,
2,26521.0,-50.85000496879218,
3,23913.0,-56.260004847869254,
4,20723.0,-63.63000468313692,-90.13000409081576
5,18683.0,-68.96000456400213,-87.21000415608285
6,16572.0,-72.0800044942647,-84.75000421106813
7,14147.0,-64.38000466637311,-80.6900043018162
8,12350.0,-55.410004866868235,-75.77000441178677
9,10894.0,-45.18000509552655,-71.57000450566409
10,9651.0,-35.770005305856444,-66.69000461474059
11,7587.0,-20.510005646944023,-53.34000491313634
12,5896.0,-8.540005914494373,-41.15000518560407
13,4195.0,1.929993851482891,-26.510005512833573
14,3207.0,7.609993724524998,-17.28000571914015
15,2308.0,12.369993618130707,-6.970005949586607
16,1584.0,15.149993555992864,1.449993862211727
17,911.0,17.199993510171794,5.589993769675516
18,,,
19,,,
